AI1(depth=1) vs AI2(depth=1) => AI1: 5, AI2: 5, Remisy: 0
AI1(depth=1) vs AI2(depth=2) => AI1: 2, AI2: 8, Remisy: 0
AI1(depth=1) vs AI2(depth=3) => AI1: 0, AI2: 10, Remisy: 0
AI1(depth=1) vs AI2(depth=4) => AI1: 2, AI2: 8, Remisy: 0
AI1(depth=1) vs AI2(depth=5) => AI1: 1, AI2: 9, Remisy: 0
AI1(depth=1) vs AI2(depth=6) => AI1: 1, AI2: 9, Remisy: 0
AI1(depth=2) vs AI2(depth=2) => AI1: 6, AI2: 3, Remisy: 1
AI1(depth=2) vs AI2(depth=3) => AI1: 4, AI2: 6, Remisy: 0
AI1(depth=2) vs AI2(depth=4) => AI1: 3, AI2: 5, Remisy: 2
AI1(depth=2) vs AI2(depth=5) => AI1: 1, AI2: 9, Remisy: 0
AI1(depth=2) vs AI2(depth=6) => AI1: 0, AI2: 10, Remisy: 0
AI1(depth=3) vs AI2(depth=3) => AI1: 6, AI2: 3, Remisy: 1
AI1(depth=3) vs AI2(depth=4) => AI1: 2, AI2: 7, Remisy: 1
AI1(depth=3) vs AI2(depth=5) => AI1: 2, AI2: 8, Remisy: 0
AI1(depth=3) vs AI2(depth=6) => AI1: 1, AI2: 9, Remisy: 0
AI1(depth=4) vs AI2(depth=4) => AI1: 2, AI2: 6, Remisy: 2
AI1(depth=4) vs AI2(depth=5) => AI1: 3, AI2: 2, Remisy: 5
AI1(depth=4) vs AI2(depth=6) => AI1: 1, AI2: 8, Remisy: 1
AI1(depth=5) vs AI2(depth=5) => AI1: 5, AI2: 5, Remisy: 0
AI1(depth=5) vs AI2(depth=6) => AI1: 4, AI2: 4, Remisy: 2
AI1(depth=6) vs AI2(depth=6) => AI1: 6, AI2: 2, Remisy: 2
